version,block,exp,id,sentence,cond,gender,structure,phonot_freq,lex_freq,figurativeness,target,distractor,noun,noun_transparency,subject_antecedent,object_antecedent,sentence_wav,pictureA_i,pictureA,pictureB_i,pictureB,CorrectPicture,SubjectBias,RespAllowedTime,StartSentence,onsetQue,onsetDet,onsetN,onsetTarget,offsetTarget,iOffset1,iOffsetN,iOnsetTarget,iOffsetTarget,sOffset1,sOnsetV1,sOnsetC2,sOnsetC3,sOnsetV2,sOffsetTarget,AonsetS,AoffsetS,AonsetO,AoffsetO,AonsetPN,AonsetAux,AonsetGerund,AonsetTarget,AoffsetTarget,end_sentence
1,1,anaphora,A02_C3,"Mientras el señor aguanta al niño, está leyendo un cómic en el jardín.",3,NA,NA,NA,NA,NA,cómic,poema,NA,NA,señor,niño,A02_C3.wav,cómic,A02obj.bmp,poema,A02subj.bmp,A02obj.bmp,A02subj.bmp,3.157916,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.544404,0.953748,1.489934,1.929131,2.229346,2.229346,2.592056,3.157916,3.558149,4.370609
2,1,anaphora,A02_C4,"Mientras el señor aguanta al niño, él está leyendo un cómic en el jardín.",4,NA,NA,NA,NA,NA,cómic,poema,NA,NA,señor,niño,A02_C4.wav,cómic,A02obj.bmp,poema,A02subj.bmp,A02obj.bmp,A02subj.bmp,3.236623,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528241,0.909325,1.431437,1.884538,2.184621,2.340473,2.64421,3.236623,3.615239,4.446776
4,1,anaphora,A03_C1,"Mientras el pastelero asusta al cocinero, está preparando un postre en la casa.",1,NA,NA,NA,NA,NA,postre,arroz,NA,NA,pastelero,cocinero,A03_C1.wav,postre,A03subj.bmp,arroz,A03obj.bmp,A03subj.bmp,A03subj.bmp,3.718819,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597999,1.178314,1.727776,2.423309,2.724103,2.724103,3.048787,3.718819,4.169285,4.752017
3,1,anaphora,A03_C2,"Mientras el pastelero asusta al cocinero, él está preparando un postre en la casa.",2,NA,NA,NA,NA,NA,postre,arroz,NA,NA,pastelero,cocinero,A03_C2.wav,postre,A03subj.bmp,arroz,A03obj.bmp,A03subj.bmp,A03subj.bmp,3.805612,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.655366,1.246832,1.743577,2.429111,2.729507,2.884184,3.127531,3.805612,4.225593,4.852747
2,1,anaphora,A03_C3,"Mientras el pastelero asusta al cocinero, está preparando un arroz en la casa.",3,NA,NA,NA,NA,NA,arroz,postre,NA,NA,pastelero,cocinero,A03_C3.wav,arroz,A03obj.bmp,postre,A03subj.bmp,A03obj.bmp,A03subj.bmp,3.682408,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.621071,1.211762,1.704967,2.380297,2.68059,2.68059,2.996546,3.682408,4.048364,4.704065
1,1,anaphora,A03_C4,"Mientras el pastelero asusta al cocinero, él está preparando un arroz en la casa.",4,NA,NA,NA,NA,NA,arroz,postre,NA,NA,pastelero,cocinero,A03_C4.wav,arroz,A03obj.bmp,postre,A03subj.bmp,A03obj.bmp,A03subj.bmp,3.808287,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617368,1.181466,1.672169,2.401503,2.702369,2.870455,3.157472,3.808287,4.12934,4.773609
2,1,anaphora,A04_C1,"Mientras el cantante desmiente al escritor, está presentando un disco en el centro.",1,NA,NA,NA,NA,NA,disco,libro,NA,NA,cantante,escritor,A04_C1.wav,disco,A04subj.bmp,libro,A04obj.bmp,A04subj.bmp,A04subj.bmp,3.824188,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65451,1.205789,1.762377,2.424468,2.725279,2.725279,3.065016,3.824188,4.223789,5.043587
1,1,anaphora,A04_C2,"Mientras el cantante desmiente al escritor, él está presentando un disco en el centro.",2,NA,NA,NA,NA,NA,disco,libro,NA,NA,cantante,escritor,A04_C2.wav,disco,A04subj.bmp,libro,A04obj.bmp,A04subj.bmp,A04subj.bmp,4.198982,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678849,1.274275,1.966484,2.592064,2.892148,3.062518,3.372333,4.198982,4.630237,5.391975
4,1,anaphora,A04_C3,"Mientras el cantante desmiente al escritor, está presentando un libro en el centro.",3,NA,NA,NA,NA,NA,libro,disco,NA,NA,cantante,escritor,A04_C3.wav,libro,A04obj.bmp,disco,A04subj.bmp,A04obj.bmp,A04subj.bmp,4.195266,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.750337,1.395855,2.050294,2.68555,2.986165,2.986165,3.357097,4.195266,4.606423,5.446423
3,1,anaphora,A04_C4,"Mientras el cantante desmiente al escritor, él está presentando un libro en el centro.",4,NA,NA,NA,NA,NA,libro,disco,NA,NA,cantante,escritor,A04_C4.wav,libro,A04obj.bmp,disco,A04subj.bmp,A04obj.bmp,A04subj.bmp,4.371877,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.705291,1.32496,2.004059,2.689342,2.989485,3.160677,3.483307,4.371877,4.723115,5.520313
3,2,anaphora,A05_C1,"Mientras el médico entretiene al artista, está haciendo un informe en el tren.",1,NA,NA,NA,NA,NA,informe,dibujo,NA,NA,médico,artista,A05_C1.wav,informe,A05subj.bmp,dibujo,A05obj.bmp,A05subj.bmp,A05subj.bmp,3.683642,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.689305,1.135554,1.832951,2.520695,2.820793,2.820793,3.180198,3.683642,4.183682,4.866019
4,2,anaphora,A05_C2,"Mientras el médico entretiene al artista, él está haciendo un informe en el tren.",2,NA,NA,NA,NA,NA,informe,dibujo,NA,NA,médico,artista,A05_C2.wav,informe,A05subj.bmp,dibujo,A05obj.bmp,A05subj.bmp,A05subj.bmp,3.719341,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.721113,1.168891,1.859718,2.548768,2.850546,2.992795,3.258583,3.719341,4.247127,4.912588
1,2,anaphora,A05_C3,"Mientras el médico entretiene al artista, está haciendo un dibujo en el tren.",3,NA,NA,NA,NA,NA,dibujo,informe,NA,NA,médico,artista,A05_C3.wav,dibujo,A05obj.bmp,informe,A05subj.bmp,A05obj.bmp,A05subj.bmp,3.628414,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.638348,1.057947,1.788037,2.502391,2.802391,2.802391,3.119755,3.628414,4.032943,4.709243
2,2,anaphora,A05_C4,"Mientras el médico entretiene al artista, él está haciendo un dibujo en el tren.",4,NA,NA,NA,NA,NA,dibujo,informe,NA,NA,médico,artista,A05_C4.wav,dibujo,A05obj.bmp,informe,A05subj.bmp,A05obj.bmp,A05subj.bmp,3.482728,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57711,0.968302,1.641778,2.307978,2.608455,2.786349,3.077556,3.482728,3.858895,4.497217
1,2,anaphora,A06_C1,"Mientras el militar espera al agricultor, está reparando un tanque en el camino.",1,NA,NA,NA,NA,NA,tanque,tractor,NA,NA,militar,agricultor,A06_C1.wav,tanque,A06subj.bmp,tractor,A06obj.bmp,A06subj.bmp,A06subj.bmp,3.663103,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612785,1.081571,1.570159,2.359097,2.658936,2.658936,2.974158,3.663103,3.973498,4.710715
2,2,anaphora,A06_C2,"Mientras el militar espera al agricultor, él está reparando un tanque en el camino.",2,NA,NA,NA,NA,NA,tanque,tractor,NA,NA,militar,agricultor,A06_C2.wav,tanque,A06subj.bmp,tractor,A06obj.bmp,A06subj.bmp,A06subj.bmp,3.714103,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631994,1.085858,1.537997,2.334369,2.634899,2.79443,3.058921,3.714103,4.05345,4.79472
3,2,anaphora,A06_C3,"Mientras el militar espera al agricultor, está reparando un tractor en el camino.",3,NA,NA,NA,NA,NA,tractor,tanque,NA,NA,militar,agricultor,A06_C3.wav,tractor,A06obj.bmp,tanque,A06subj.bmp,A06obj.bmp,A06subj.bmp,3.717951,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.684776,1.192519,1.652272,2.433877,2.734337,2.734337,3.084888,3.717951,4.162082,4.935246
4,2,anaphora,A06_C4,"Mientras el militar espera al agricultor, él está reparando un tractor en el camino.",4,NA,NA,NA,NA,NA,tractor,tanque,NA,NA,militar,agricultor,A06_C4.wav,tractor,A06obj.bmp,tanque,A06subj.bmp,A06obj.bmp,A06subj.bmp,3.75015,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64738,1.142697,1.61942,2.408106,2.708395,2.868957,3.147791,3.75015,4.24924,5.037056
2,2,anaphora,A07_C1,"Mientras el carnicero evita al jardinero, está vendiendo un pollo en la plaza.",1,NA,NA,NA,NA,NA,pollo,árbol,NA,NA,carnicero,jardinero,A07_C1.wav,pollo,A07subj.bmp,árbol,A07obj.bmp,A07subj.bmp,A07subj.bmp,3.544087,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564172,1.201756,1.54075,2.285254,2.586246,2.586246,2.941068,3.544087,3.930861,4.640439
1,2,anaphora,A07_C2,"Mientras el carnicero evita al jardinero, él está vendiendo un pollo en la plaza.",2,NA,NA,NA,NA,NA,pollo,árbol,NA,NA,carnicero,jardinero,A07_C2.wav,pollo,A07subj.bmp,árbol,A07obj.bmp,A07subj.bmp,A07subj.bmp,3.72384,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630988,1.231023,1.58807,2.375772,2.674931,2.858602,3.141687,3.72384,4.116542,4.866924
4,2,anaphora,A07_C3,"Mientras el carnicero evita al jardinero, está vendiendo un árbol en la plaza.",3,NA,NA,NA,NA,NA,árbol,pollo,NA,NA,carnicero,jardinero,A07_C3.wav,árbol,A07obj.bmp,pollo,A07subj.bmp,A07obj.bmp,A07subj.bmp,3.726445,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636922,1.247066,1.661018,2.439694,2.739889,2.739889,3.087514,3.726445,4.072723,4.856451
3,2,anaphora,A07_C4,"Mientras el carnicero evita al jardinero, él está vendiendo un árbol en la plaza.",4,NA,NA,NA,NA,NA,árbol,pollo,NA,NA,carnicero,jardinero,A07_C4.wav,árbol,A07obj.bmp,pollo,A07subj.bmp,A07obj.bmp,A07subj.bmp,3.88886,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.688751,1.323472,1.701589,2.477929,2.778682,2.973026,3.254275,3.88886,4.21142,4.963679
4,2,anaphora,A08_C1,"Mientras el bailarín habla al jugador, está mirando un festival en la tele.",1,NA,NA,NA,NA,NA,festival,torneo,NA,NA,bailarín,jugador,A08_C1.wav,festival,A08subj.bmp,torneo,A08obj.bmp,A08subj.bmp,A08subj.bmp,3.360888,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.679194,1.227252,1.559926,2.188714,2.48937,2.48937,2.85326,3.360888,3.998241,4.703721
3,2,anaphora,A08_C2,"Mientras el bailarín habla al jugador, él está mirando un festival en la tele.",2,NA,NA,NA,NA,NA,festival,torneo,NA,NA,bailarín,jugador,A08_C2.wav,festival,A08subj.bmp,torneo,A08obj.bmp,A08subj.bmp,A08subj.bmp,3.504705,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66207,1.209699,1.605013,2.193487,2.493215,2.644169,2.963661,3.504705,4.104854,4.811318
2,2,anaphora,A08_C3,"Mientras el bailarín habla al jugador, está mirando un torneo en la tele.",3,NA,NA,NA,NA,NA,torneo,festival,NA,NA,bailarín,jugador,A08_C3.wav,torneo,A08obj.bmp,festival,A08subj.bmp,A08obj.bmp,A08subj.bmp,3.492682,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.677429,1.259696,1.682028,2.269586,2.569716,2.569716,2.902368,3.492682,4.003988,4.649342
1,2,anaphora,A08_C4,"Mientras el bailarín habla al jugador, él está mirando un torneo en la tele.",4,NA,NA,NA,NA,NA,torneo,festival,NA,NA,bailarín,jugador,A08_C4.wav,torneo,A08obj.bmp,festival,A08subj.bmp,A08obj.bmp,A08subj.bmp,3.48756,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584276,1.128252,1.47262,2.167865,2.468642,2.630066,2.937967,3.48756,3.957096,4.586114
1,3,anaphora,A09_C1,"Mientras el secretario interrumpe al arquitecto, está guardando un papel en el armario.",1,NA,NA,NA,NA,NA,papel,plano,NA,NA,secretario,arquitecto,A09_C1.wav,papel,A09subj.bmp,plano,A09obj.bmp,A09subj.bmp,A09subj.bmp,3.901146,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.595099,1.245897,1.871213,2.663624,2.963616,2.963616,3.307762,3.901146,4.321521,5.197552
2,3,anaphora,A09_C2,"Mientras el secretario interrumpe al arquitecto, él está guardando un papel en el armario.",2,NA,NA,NA,NA,NA,papel,plano,NA,NA,secretario,arquitecto,A09_C2.wav,papel,A09subj.bmp,plano,A09obj.bmp,A09subj.bmp,A09subj.bmp,3.946011,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.589391,1.2226,1.810216,2.583885,2.883973,3.039396,3.318512,3.946011,4.334652,5.231732
3,3,anaphora,A09_C3,"Mientras el secretario interrumpe al arquitecto, está guardando un plano en el armario.",3,NA,NA,NA,NA,NA,plano,papel,NA,NA,secretario,arquitecto,A09_C3.wav,plano,A09obj.bmp,papel,A09subj.bmp,A09obj.bmp,A09subj.bmp,4.075992,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597346,1.206653,1.966594,2.786781,3.08668,3.08668,3.44236,4.075992,4.468698,5.298223
4,3,anaphora,A09_C4,"Mientras el secretario interrumpe al arquitecto, él está guardando un plano en el armario.",4,NA,NA,NA,NA,NA,plano,papel,NA,NA,secretario,arquitecto,A09_C4.wav,plano,A09obj.bmp,papel,A09subj.bmp,A09obj.bmp,A09subj.bmp,3.940741,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549998,1.12696,1.795264,2.582312,2.882471,3.022685,3.311758,3.940741,4.349508,5.22047
3,3,anaphora,A10_C1,"Mientras el policía investiga al geólogo, está cogiendo un visado en la frontera.",1,NA,NA,NA,NA,NA,visado,mineral,NA,NA,policía,geólogo,A10_C1.wav,visado,A10subj.bmp,mineral,A10obj.bmp,A10subj.bmp,A10subj.bmp,4.055851,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723977,1.322501,2.033964,2.789263,3.088908,3.088908,3.425576,4.055851,4.553146,5.486759
4,3,anaphora,A10_C2,"Mientras el policía investiga al geólogo, él está cogiendo un visado en la frontera.",2,NA,NA,NA,NA,NA,visado,mineral,NA,NA,policía,geólogo,A10_C2.wav,visado,A10subj.bmp,mineral,A10obj.bmp,A10subj.bmp,A10subj.bmp,4.110294,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.690641,1.248254,1.908805,2.663399,2.963583,3.154391,3.46141,4.110294,4.577517,5.494201
1,3,anaphora,A10_C3,"Mientras el policía investiga al geólogo, está cogiendo un mineral en la frontera.",3,NA,NA,NA,NA,NA,mineral,visado,NA,NA,policía,geólogo,A10_C3.wav,mineral,A10obj.bmp,visado,A10subj.bmp,A10obj.bmp,A10subj.bmp,3.845896,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.679275,1.294255,1.970781,2.680828,2.981621,2.981621,3.310735,3.845896,4.384265,5.321753
2,3,anaphora,A10_C4,"Mientras el policía investiga al geólogo, él está cogiendo un mineral en la frontera.",4,NA,NA,NA,NA,NA,mineral,visado,NA,NA,policía,geólogo,A10_C4.wav,mineral,A10obj.bmp,visado,A10subj.bmp,A10obj.bmp,A10subj.bmp,3.946795,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698944,1.273258,1.96743,2.692313,2.992655,3.140216,3.398385,3.946795,4.469151,5.412366
4,3,anaphora,A11_C1,"Mientras el cartero recoge al frutero, está dejando un paquete a la vecina.",1,NA,NA,NA,NA,NA,paquete,plátano,NA,NA,cartero,frutero,A11_C1.wav,paquete,A11subj.bmp,plátano,A11obj.bmp,A11subj.bmp,A11subj.bmp,3.655387,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673166,1.206589,1.794511,2.475034,2.775522,2.775522,3.116505,3.655387,4.14539,4.950546
3,3,anaphora,A11_C2,"Mientras el cartero recoge al frutero, él está dejando un paquete a la vecina.",2,NA,NA,NA,NA,NA,paquete,plátano,NA,NA,cartero,frutero,A11_C2.wav,paquete,A11subj.bmp,plátano,A11obj.bmp,A11subj.bmp,A11subj.bmp,3.641227,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.650184,1.169811,1.759483,2.395375,2.696013,2.867545,3.143201,3.641227,4.124066,4.91488
2,3,anaphora,A11_C3,"Mientras el cartero recoge al frutero, está dejando un plátano a la vecina.",3,NA,NA,NA,NA,NA,plátano,paquete,NA,NA,cartero,frutero,A11_C3.wav,plátano,A11obj.bmp,paquete,A11subj.bmp,A11obj.bmp,A11subj.bmp,3.738332,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755205,1.300507,1.86046,2.521348,2.821498,2.821498,3.160608,3.738332,4.265405,5.123701
1,3,anaphora,A11_C4,"Mientras el cartero recoge al frutero, él está dejando un plátano a la vecina.",4,NA,NA,NA,NA,NA,plátano,paquete,NA,NA,cartero,frutero,A11_C4.wav,plátano,A11obj.bmp,paquete,A11subj.bmp,A11obj.bmp,A11subj.bmp,3.88558,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685397,1.270524,1.861477,2.522279,2.822933,3.015677,3.303291,3.88558,4.423419,5.172698
2,3,anaphora,A12_C1,"Mientras el pintor saluda al actor, está abriendo un museo en el pueblo.",1,NA,NA,NA,NA,NA,museo,teatro,NA,NA,pintor,actor,A12_C1.wav,museo,A12subj.bmp,teatro,A12obj.bmp,A12subj.bmp,A12subj.bmp,3.377665,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.588691,0.981588,1.584088,2.107742,2.408561,2.408561,2.806873,3.377665,3.862604,4.662951
1,3,anaphora,A12_C2,"Mientras el pintor saluda al actor, él está abriendo un museo en el pueblo.",2,NA,NA,NA,NA,NA,museo,teatro,NA,NA,pintor,actor,A12_C2.wav,museo,A12subj.bmp,teatro,A12obj.bmp,A12subj.bmp,A12subj.bmp,3.603308,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692235,1.12658,1.732885,2.230185,2.530859,2.725972,3.10902,3.603308,4.05487,4.858069
4,3,anaphora,A12_C3,"Mientras el pintor saluda al actor, está abriendo un teatro en el pueblo.",3,NA,NA,NA,NA,NA,teatro,museo,NA,NA,pintor,actor,A12_C3.wav,teatro,A12obj.bmp,museo,A12subj.bmp,A12obj.bmp,A12subj.bmp,3.395381,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.635735,1.083896,1.697787,2.191313,2.49154,2.49154,2.908877,3.395381,3.938181,4.725066
3,3,anaphora,A12_C4,"Mientras el pintor saluda al actor, él está abriendo un teatro en el pueblo.",4,NA,NA,NA,NA,NA,teatro,museo,NA,NA,pintor,actor,A12_C4.wav,teatro,A12obj.bmp,museo,A12subj.bmp,A12obj.bmp,A12subj.bmp,3.610506,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686196,1.149765,1.762351,2.247692,2.548517,2.729052,3.138916,3.610506,4.109188,4.969622
3,4,anaphora,A13_C1,"Mientras el detective sigue al explorador, está descubriendo un crimen en la playa.",1,NA,NA,NA,NA,NA,crimen,templo,NA,NA,detective,explorador,A13_C1.wav,crimen,A13subj.bmp,templo,A13obj.bmp,A13subj.bmp,A13subj.bmp,4.226468,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788709,1.438846,1.86391,2.689191,2.990178,2.990178,3.355241,4.226468,4.635701,5.459072
4,4,anaphora,A13_C2,"Mientras el detective sigue al explorador, él está descubriendo un crimen en la playa.",2,NA,NA,NA,NA,NA,crimen,templo,NA,NA,detective,explorador,A13_C2.wav,crimen,A13subj.bmp,templo,A13obj.bmp,A13subj.bmp,A13subj.bmp,4.194909,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.694108,1.308925,1.789204,2.602515,2.903004,3.07017,3.39709,4.194909,4.604684,5.442008
1,4,anaphora,A13_C3,"Mientras el detective sigue al explorador, está descubriendo un templo en la playa.",3,NA,NA,NA,NA,NA,templo,crimen,NA,NA,detective,explorador,A13_C3.wav,templo,A13obj.bmp,crimen,A13subj.bmp,A13obj.bmp,A13subj.bmp,4.402711,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77056,1.514015,1.996134,2.847053,3.147083,3.147083,3.536665,4.402711,4.845929,5.558773
2,4,anaphora,A13_C4,"Mientras el detective sigue al explorador, él está descubriendo un templo en la playa.",4,NA,NA,NA,NA,NA,templo,crimen,NA,NA,detective,explorador,A13_C4.wav,templo,A13obj.bmp,crimen,A13subj.bmp,A13obj.bmp,A13subj.bmp,4.672827,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.790794,1.493716,2.00189,2.860726,3.161179,3.344339,3.669367,4.672827,5.179832,6.043541
